#{"t_start": 1765847988.766026, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.399748,10,36.280427
0.416477,10,36.341
0.413758,10,36.389439
0.399128,10,36.444545
0.3502,10,36.483001
0.338881,10,36.544012
0.35066,10,36.599059
0.390604,10,36.640721
0.421049,10,36.677338
0.408988,10,36.735622
0.402012,10,36.770961
0.380612,10,36.808214
0.41706,10,36.854743
0.386662,10,36.908285
0.411339,10,36.96331
0.377366,10,37.008544
0.37469,10,37.065215
0.405337,10,37.108837
0.390643,10,37.15213
0.405992,10,37.192422
0.386653,10,37.236483
0.39075,10,37.274091
0.404032,10,37.326583
0.383887,10,37.371736
0.381807,10,37.41919
0.37899,10,37.466466
0.429431,10,37.501722
0.364691,10,37.537063
0.364102,10,37.579735
0.38106,10,37.627722
0.350463,10,37.674924
0.402926,10,37.714967
0.385281,10,37.757174
0.35271,10,37.817064
0.349653,10,37.864571
0.387288,10,37.902509
0.399924,10,37.946587
0.400417,10,37.985794
0.358837,10,38.040962
0.398371,10,38.095333
0.36688,10,38.137511
0.403558,10,38.181432
0.383131,10,38.217355
0.396103,10,38.270317
0.424102,10,38.324425
0.38457,10,38.361571
0.425521,10,38.406971
0.387875,10,38.450648
0.39814,10,38.489234
0.37842,10,38.539471
0.427042,10,38.583169
0.364566,10,38.628838
0.376539,10,38.674239
0.363452,10,38.728092
0.346304,10,38.762748
0.401383,10,38.824944
0.33229,10,38.862022
0.434604,10,38.909621
0.358865,10,38.967276
0.375748,10,39.012614
0.394467,10,39.060504
0.372594,10,39.119164
0.367316,10,39.166368
0.407003,10,39.217258
0.413912,10,39.269745
0.390525,10,39.317826
0.435359,10,39.365356
0.324671,10,39.420511
0.365771,10,39.464852
0.36972,10,39.51924
0.393587,10,39.565025
0.383351,10,39.601807
0.417806,10,39.644589
0.393137,10,39.689786
0.426668,10,39.733572
0.409522,10,39.768319
0.391127,10,39.825473
0.373273,10,39.859924
0.336841,10,39.893324
0.358122,10,39.944519
0.41752,10,39.993957
0.343971,10,40.035998
0.40215,10,40.086101
0.404908,10,40.13555
0.35601,10,40.176952
0.395254,10,40.232981
0.392247,10,40.312168
0.33936,10,40.362803
0.403774,10,40.411236
0.384167,10,40.45469
0.425161,10,40.502958
0.367315,10,40.553604
0.383039,10,40.588779
0.366686,10,40.642543
0.37635,10,40.685324
0.399915,10,40.720921
0.322769,10,40.763278
0.380651,10,40.799798
0.410329,10,40.836215
0.417979,10,40.889979
0.389776,10,40.932564
0.431568,10,40.986436
0.419018,10,41.019995
0.428377,10,41.070075
0.403256,10,41.111517
0.380006,10,41.15438
0.388454,10,41.20171
0.397033,10,41.258502
0.382633,10,41.293489
0.414854,10,41.335164
0.407825,10,41.375667
0.418404,10,41.423919
0.400664,10,41.461819
0.392982,10,41.495359
0.420779,10,41.536488
0.40137,10,41.587367
0.360993,10,41.635188
0.381629,10,41.689499
0.370769,10,41.743233
0.389512,10,41.805126
0.372201,10,41.856971
0.413869,10,41.90719
0.404091,10,41.946678
0.35049,10,41.984389
0.389029,10,42.035014
0.364172,10,42.075587
0.37223,10,42.115149
0.376315,10,42.150638
0.355588,10,42.190975
0.375825,10,42.22789
