source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
rl,dqn | LDPC-DiscreteMI-v0,48,7,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,7,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,7,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,8,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,9,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,10,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,11,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,12,10,11.734536745750585,0.0
