source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
rl,dqn | LDPC-DiscreteResidual-v0,48,8,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,9,12.278652157074866,0.0
