source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,24,7,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,8,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,9,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,10,10,5.566072994269723,0.0
