source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteMI-v0,384,4,27,3.0453447750374796,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,28,3.292616220827218,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,29,2.9154131964206256,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,30,3.7251216718933877,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,31,2.7123109058337938,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,32,3.474627586007141,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,33,3.247631607646666,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,34,3.273463668015157,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,35,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,36,3.405606111260804,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,37,2.724438229561849,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,38,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,39,3.420547480030548,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,40,3.100547795631275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,41,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,0,4.422382544201729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,1,4.495454725657839,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,2,4.188496883782267,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,3,4.33732041807605,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,4,4.484448396353051,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,5,4.564420912067882,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,6,4.810689074156299,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,7,4.480438663490418,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,8,4.256078479898369,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,9,4.237996309493003,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,10,4.439444854277895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,11,4.498064788514997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,12,4.332868510062275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,13,4.256536417921963,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,14,4.34614957566409,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,15,4.46147925891832,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,16,4.457960200073542,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,17,4.466473957251738,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,18,4.465050199186734,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,19,4.255153574979312,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,20,3.2360000370193167,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,21,3.2222749574829836,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,22,2.76139881037142,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,23,3.442610033609416,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,24,3.2811779540646975,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,25,3.2032894583700107,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,26,3.453815854254601,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,27,3.0453447750374796,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,28,3.292616220827218,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,29,2.9154131964206256,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,30,3.7251216718933877,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,31,2.7123109058337938,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,32,3.474627586007141,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,33,3.247631607646666,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,34,3.273463668015157,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,35,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,36,3.405606111260804,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,37,2.724438229561849,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,38,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,39,3.420547480030548,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,40,3.100547795631275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,5,41,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,0,4.422382544201729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,1,4.495454725657839,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,2,4.188496883782267,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,3,4.33732041807605,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,4,4.484448396353051,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,5,4.564420912067882,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,6,4.810689074156299,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,7,4.480438663490418,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,8,4.256078479898369,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,9,4.237996309493003,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,10,4.439444854277895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,11,4.498064788514997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,12,4.332868510062275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,13,4.256536417921963,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,14,4.34614957566409,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,15,4.46147925891832,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,16,4.457960200073542,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,17,4.466473957251738,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,18,4.465050199186734,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,19,4.255153574979312,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,20,3.2360000370193167,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,21,3.2222749574829836,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,22,2.76139881037142,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,23,3.442610033609416,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,24,3.2811779540646975,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,25,3.2032894583700107,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,26,3.453815854254601,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,27,3.0453447750374796,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,28,3.292616220827218,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,29,2.9154131964206256,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,6,30,3.7251216718933877,0.0
