source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
baseline,serial_emulated,48,10,8,13.190018717476084,0.0
baseline,serial_emulated,48,10,9,11.66318145706882,0.0
baseline,serial_emulated,48,10,10,11.440631936758273,0.0
baseline,serial_emulated,48,10,11,11.440631936758273,0.0
baseline,serial_emulated,48,11,0,13.190018717476084,0.0
baseline,serial_emulated,48,11,1,11.440631936758273,0.0
baseline,serial_emulated,48,11,2,13.190018717476084,0.0
baseline,serial_emulated,48,11,3,11.66318145706882,0.0
baseline,serial_emulated,48,11,4,11.440631936758273,0.0
baseline,serial_emulated,48,11,5,11.440631936758273,0.0
baseline,serial_emulated,48,11,6,11.839148153182606,0.0
baseline,serial_emulated,48,11,7,11.440631936758273,0.0
baseline,serial_emulated,48,11,8,13.190018717476084,0.0
baseline,serial_emulated,48,11,9,11.66318145706882,0.0
baseline,serial_emulated,48,11,10,11.440631936758273,0.0
baseline,serial_emulated,48,11,11,11.440631936758273,0.0
baseline,serial_emulated,48,12,0,13.190018717476084,0.0
baseline,serial_emulated,48,12,1,11.440631936758273,0.0
baseline,serial_emulated,48,12,2,13.190018717476084,0.0
baseline,serial_emulated,48,12,3,11.66318145706882,0.0
baseline,serial_emulated,48,12,4,11.440631936758273,0.0
baseline,serial_emulated,48,12,5,11.440631936758273,0.0
baseline,serial_emulated,48,12,6,11.839148153182606,0.0
baseline,serial_emulated,48,12,7,11.440631936758273,0.0
baseline,serial_emulated,48,12,8,13.190018717476084,0.0
baseline,serial_emulated,48,12,9,11.66318145706882,0.0
baseline,serial_emulated,48,12,10,11.440631936758273,0.0
baseline,serial_emulated,48,12,11,11.440631936758273,0.0
baseline,serial_emulated,48,13,0,13.190018717476084,0.0
baseline,serial_emulated,48,13,1,11.440631936758273,0.0
baseline,serial_emulated,48,13,2,13.190018717476084,0.0
baseline,serial_emulated,48,13,3,11.66318145706882,0.0
baseline,serial_emulated,48,13,4,11.440631936758273,0.0
baseline,serial_emulated,48,13,5,11.440631936758273,0.0
baseline,serial_emulated,48,13,6,11.839148153182606,0.0
baseline,serial_emulated,48,13,7,11.440631936758273,0.0
baseline,serial_emulated,48,13,8,13.190018717476084,0.0
baseline,serial_emulated,48,13,9,11.66318145706882,0.0
baseline,serial_emulated,48,13,10,11.440631936758273,0.0
baseline,serial_emulated,48,13,11,11.440631936758273,0.0
baseline,serial_emulated,48,14,0,13.190018717476084,0.0
baseline,serial_emulated,48,14,1,11.440631936758273,0.0
baseline,serial_emulated,48,14,2,13.190018717476084,0.0
baseline,serial_emulated,48,14,3,11.66318145706882,0.0
baseline,serial_emulated,48,14,4,11.748365585676448,0.0
baseline,serial_emulated,48,14,5,11.440631936758273,0.0
baseline,serial_emulated,48,14,6,11.839148153182606,0.0
baseline,serial_emulated,48,14,7,11.440631936758273,0.0
baseline,serial_emulated,48,14,8,13.190018717476084,0.0
baseline,serial_emulated,48,14,9,11.66318145706882,0.0
baseline,serial_emulated,48,14,10,11.440631936758273,0.0
baseline,serial_emulated,48,14,11,11.748365585676448,0.0
baseline,serial_emulated,48,15,0,13.190018717476084,0.0
baseline,serial_emulated,48,15,1,11.440631936758273,0.0
baseline,serial_emulated,48,15,2,13.190018717476084,0.0
baseline,serial_emulated,48,15,3,11.66318145706882,0.0
baseline,serial_emulated,48,15,4,11.748365585676448,0.0
baseline,serial_emulated,48,15,5,11.440631936758273,0.0
baseline,serial_emulated,48,15,6,11.839148153182606,0.0
baseline,serial_emulated,48,15,7,11.440631936758273,0.0
baseline,serial_emulated,48,15,8,13.190018717476084,0.0
baseline,serial_emulated,48,15,9,11.66318145706882,0.0
baseline,serial_emulated,48,15,10,11.440631936758273,0.0
baseline,serial_emulated,48,15,11,11.748365585676448,0.0
baseline,serial_emulated,48,16,0,13.190018717476084,0.0
baseline,serial_emulated,48,16,1,11.440631936758273,0.0
baseline,serial_emulated,48,16,2,13.190018717476084,0.0
baseline,serial_emulated,48,16,3,11.66318145706882,0.0
baseline,serial_emulated,48,16,4,11.748365585676448,0.0
baseline,serial_emulated,48,16,5,11.440631936758273,0.0
baseline,serial_emulated,48,16,6,11.839148153182606,0.0
baseline,serial_emulated,48,16,7,11.440631936758273,0.0
baseline,serial_emulated,48,16,8,13.190018717476084,0.0
baseline,serial_emulated,48,16,9,11.66318145706882,0.0
baseline,serial_emulated,48,16,10,11.440631936758273,0.0
baseline,serial_emulated,48,16,11,11.748365585676448,0.0
baseline,serial_emulated,48,17,0,13.190018717476084,0.0
baseline,serial_emulated,48,17,1,11.440631936758273,0.0
baseline,serial_emulated,48,17,2,13.190018717476084,0.0
baseline,serial_emulated,48,17,3,11.66318145706882,0.0
baseline,serial_emulated,48,17,4,11.748365585676448,0.0
baseline,serial_emulated,48,17,5,11.440631936758273,0.0
baseline,serial_emulated,48,17,6,11.839148153182606,0.0
baseline,serial_emulated,48,17,7,11.440631936758273,0.0
baseline,serial_emulated,48,17,8,13.190018717476084,0.0
baseline,serial_emulated,48,17,9,11.66318145706882,0.0
baseline,serial_emulated,48,17,10,11.440631936758273,0.0
baseline,serial_emulated,48,17,11,11.748365585676448,0.0
baseline,serial_emulated,48,18,0,13.190018717476084,0.0
baseline,serial_emulated,48,18,1,11.440631936758273,0.0
baseline,serial_emulated,48,18,2,13.190018717476084,0.0
baseline,serial_emulated,48,18,3,11.66318145706882,0.0
baseline,serial_emulated,48,18,4,11.748365585676448,0.0
baseline,serial_emulated,48,18,5,11.440631936758273,0.0
baseline,serial_emulated,48,18,6,11.839148153182606,0.0
baseline,serial_emulated,48,18,7,11.440631936758273,0.0
baseline,serial_emulated,48,18,8,13.190018717476084,0.0
baseline,serial_emulated,48,18,9,11.66318145706882,0.0
baseline,serial_emulated,48,18,10,11.440631936758273,0.0
baseline,serial_emulated,48,18,11,11.748365585676448,0.0
baseline,serial_emulated,48,19,0,13.190018717476084,0.0
baseline,serial_emulated,48,19,1,11.440631936758273,0.0
baseline,serial_emulated,48,19,2,13.190018717476084,0.0
baseline,serial_emulated,48,19,3,11.66318145706882,0.0
baseline,serial_emulated,48,19,4,11.748365585676448,0.0
baseline,serial_emulated,48,19,5,11.440631936758273,0.0
baseline,serial_emulated,48,19,6,11.839148153182606,0.0
baseline,serial_emulated,48,19,7,11.440631936758273,0.0
baseline,serial_emulated,48,19,8,13.190018717476084,0.0
baseline,serial_emulated,48,19,9,11.66318145706882,0.0
baseline,serial_emulated,48,19,10,11.440631936758273,0.0
baseline,serial_emulated,48,19,11,11.748365585676448,0.0
baseline,serial_emulated,48,20,0,13.190018717476084,0.0
baseline,serial_emulated,48,20,1,11.440631936758273,0.0
baseline,serial_emulated,48,20,2,13.190018717476084,0.0
baseline,serial_emulated,48,20,3,11.66318145706882,0.0
baseline,serial_emulated,48,20,4,11.748365585676448,0.0
baseline,serial_emulated,48,20,5,11.440631936758273,0.0
baseline,serial_emulated,48,20,6,11.839148153182606,0.0
baseline,serial_emulated,48,20,7,11.440631936758273,0.0
baseline,serial_emulated,48,20,8,13.190018717476084,0.0
baseline,serial_emulated,48,20,9,11.66318145706882,0.0
baseline,serial_emulated,48,20,10,11.440631936758273,0.0
baseline,serial_emulated,48,20,11,11.748365585676448,0.0
baseline,serial_emulated,48,21,0,13.190018717476084,0.0
baseline,serial_emulated,48,21,1,11.440631936758273,0.0
baseline,serial_emulated,48,21,2,13.190018717476084,0.0
baseline,serial_emulated,48,21,3,11.66318145706882,0.0
baseline,serial_emulated,48,21,4,11.748365585676448,0.0
