#{"t_start": 1765848107.7643044, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.370932,10,13.010766
0.358315,10,13.059617
0.383291,10,13.091225
0.350056,10,13.181664
0.370067,10,13.235943
0.397374,10,13.295846
0.382664,10,13.322788
0.270582,10,13.379379
0.393063,10,13.412783
0.323381,10,13.448857
0.391229,10,13.482345
0.369174,10,13.511719
0.385095,10,13.532043
0.377678,10,13.567126
0.415733,10,13.592749
0.407319,10,13.639813
0.301723,10,13.696263
0.395789,10,13.74578
0.370588,10,13.779207
0.384081,10,13.815449
0.35139,10,13.848694
0.342187,10,13.887394
0.341676,10,13.92789
0.392881,10,13.962474
0.346989,10,13.993098
0.335787,10,14.016081
0.369729,10,14.042527
0.320379,10,14.072947
0.262552,10,14.100829
0.399278,10,14.133019
0.274347,10,14.153897
0.406278,10,14.195705
0.387177,10,14.229954
0.446858,10,14.265639
0.407753,10,14.296655
0.368925,10,14.335437
0.398389,10,14.363782
0.341179,10,14.412294
0.352324,10,14.440911
0.340549,10,14.485915
0.322702,10,14.522028
0.389163,10,14.560107
0.406356,10,14.585808
0.413253,10,14.627675
0.418782,10,14.655353
0.410841,10,14.686856
0.385187,10,14.716254
0.368987,10,14.739273
0.286484,10,14.757686
0.278579,10,14.778132
0.343847,10,14.798337
0.407187,10,14.823135
0.379315,10,14.841454
0.428811,10,14.861916
0.426775,10,14.878683
0.399141,10,14.917092
0.414517,10,14.94451
0.358773,10,14.966457
0.384455,10,14.995002
0.369507,10,15.029906
0.369133,10,15.054117
0.370259,10,15.081146
0.393397,10,15.108295
0.370838,10,15.149113
0.372084,10,15.174116
0.355785,10,15.199997
0.410211,10,15.223523
0.428043,10,15.252388
0.388443,10,15.279852
0.332102,10,15.30764
0.382651,10,15.334237
0.419275,10,15.358048
0.34742,10,15.389068
0.353459,10,15.412554
0.343532,10,15.441351
0.294303,10,15.479139
0.37883,10,15.521268
0.36241,10,15.561552
0.398879,10,15.59492
0.40763,10,15.634615
0.369702,10,15.659031
0.351459,10,15.694094
0.373453,10,15.722584
0.38491,10,15.760326
0.38372,10,15.795196
0.365151,10,15.827983
0.330701,10,15.852536
0.345822,10,15.899351
0.366203,10,15.925616
0.346105,10,15.965365
0.366794,10,15.997278
0.410046,10,16.038588
0.388201,10,16.083107
0.356146,10,16.119614
0.367155,10,16.15571
0.401485,10,16.202826
0.420578,10,16.24026
0.410567,10,16.289127
0.366101,10,16.317941
0.387695,10,16.360766
0.385781,10,16.395449
0.415909,10,16.433146
0.357049,10,16.463631
0.375718,10,16.508126
0.412264,10,16.543736
0.361054,10,16.589605
0.412691,10,16.614259
0.366691,10,16.644856
0.387251,10,16.66776
0.339886,10,16.700119
0.371845,10,16.733677
0.396041,10,16.758159
0.364448,10,16.778822
0.393836,10,16.812845
0.399668,10,16.83834
0.411408,10,16.873121
0.363405,10,16.916762
0.352643,10,16.950668
0.393762,10,16.973536
0.381857,10,17.009994
0.300974,10,17.038669
0.364561,10,17.067655
0.307558,10,17.091117
0.302147,10,17.121691
0.380371,10,17.152467
0.369037,10,17.19565
0.412677,10,17.227793
0.394196,10,17.258878
0.418138,10,17.308568
0.392098,10,17.339648
0.374251,10,17.367974
0.404687,10,17.395637
0.386358,10,17.424435
0.420257,10,17.450941
0.365747,10,17.477063
0.335543,10,17.516937
0.291362,10,17.542227
0.300221,10,17.581387
0.304783,10,17.612922
0.316456,10,17.651108
0.37869,10,17.676302
0.369811,10,17.707477
0.328583,10,17.72999
0.40202,10,17.755845
0.396898,10,17.777324
0.363754,10,17.805425
0.35526,10,17.83741
0.378068,10,17.873231
0.384365,10,17.895851
0.436042,10,17.92485
0.381084,10,17.953121
0.40782,10,17.981413
0.367349,10,18.000936
0.369915,10,18.02761
0.370413,10,18.05478
0.36076,10,18.081613
0.37566,10,18.105216
0.321011,10,18.13036
0.384135,10,18.15609
0.404369,10,18.180466
0.322799,10,18.200408
0.275766,10,18.233774
0.357215,10,18.256541
0.367711,10,18.28323
0.376104,10,18.305006
0.374278,10,18.332021
0.340748,10,18.36033
0.304545,10,18.392506
0.365304,10,18.416126
0.315708,10,18.450302
0.368896,10,18.469457
0.3519,10,18.507901
0.40253,10,18.543853
0.363291,10,18.58104
0.365727,10,18.604141
0.352081,10,18.677185
0.378575,10,18.748295
0.423232,10,18.815924
0.380849,10,18.83452
0.380941,10,18.859838
0.381275,10,18.882127
0.371625,10,18.907218
0.297723,10,18.923003
0.351825,10,18.956831
0.331746,10,18.980738
0.341481,10,19.012277
0.340764,10,19.034926
0.387926,10,19.059765
0.364937,10,19.093028
0.347714,10,19.130962
0.426562,10,19.158569
0.384624,10,19.203385
0.315577,10,19.230587
0.34033,10,19.263901
0.302001,10,19.301395
0.362988,10,19.327752
0.375494,10,19.348396
0.3525,10,19.374904
0.380272,10,19.405664
0.379192,10,19.436642
0.404979,10,19.456477
0.380903,10,19.495174
0.388178,10,19.520001
0.387012,10,19.555053
0.395959,10,19.587948
0.361673,10,19.636729
0.393665,10,19.681472
0.368479,10,19.732433
0.364566,10,19.759626
0.331886,10,19.793317
0.364612,10,19.831928
0.391558,10,19.872935
0.375856,10,19.902039
0.364767,10,19.943197
0.394056,10,19.969436
0.331672,10,20.021014
0.369509,10,20.046298
0.430405,10,20.079741
0.261984,10,20.106758
0.336809,10,20.160733
0.400873,10,20.192286
0.330123,10,20.244778
0.343367,10,20.287136
0.388186,10,20.322283
0.295467,10,20.364352
0.326493,10,20.40627
0.338801,10,20.441936
0.371253,10,20.48033
0.322784,10,20.507435
0.38631,10,20.559536
0.346987,10,20.598392
0.403968,10,20.633125
0.347534,10,20.666019
0.376446,10,20.692774
0.350321,10,20.718957
0.384748,10,20.762823
0.294422,10,20.79044
0.367419,10,20.829846
0.375723,10,20.862146
0.373144,10,20.900977
0.397964,10,20.92699
0.372933,10,20.972106
0.359584,10,21.004011
0.361997,10,21.042523
0.350433,10,21.090975
0.419846,10,21.145245
0.390645,10,21.191978
0.397813,10,21.242657
0.3822,10,21.271247
0.371505,10,21.296405
0.405307,10,21.317411
0.383464,10,21.348551
0.304331,10,21.374245
0.359445,10,21.399786
0.325772,10,21.422994
0.308324,10,21.446655
0.334525,10,21.466047
0.376905,10,21.492103
0.378464,10,21.519396
0.319572,10,21.548923
0.34484,10,21.567975
0.36239,10,21.600796
0.382356,10,21.620035
0.279477,10,21.658131
0.389528,10,21.683073
0.306775,10,21.710148
0.376167,10,21.736485
0.305288,10,21.769106
0.368267,10,21.796777
0.259975,10,21.826157
0.365464,10,21.848595
0.306357,10,21.894029
0.286503,10,21.922598
0.345857,10,21.946997
0.402992,10,21.97261
0.356277,10,22.008571
0.364018,10,22.029549
0.39848,10,22.04879
0.29726,10,22.074286
0.367298,10,22.099582
0.295972,10,22.120658
