source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteMI-v0,48,9,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,10,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,11,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,12,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,13,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,14,4,4.8706008361861945,0.0
