source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,residual,48,23,11,0.0,0.0
baseline,residual,48,24,0,0.0,0.0
baseline,residual,48,24,1,0.0,0.0
baseline,residual,48,24,2,0.0,0.0
baseline,residual,48,24,3,0.0,0.0
baseline,residual,48,24,4,0.0,0.0
baseline,residual,48,24,5,0.0,0.0
baseline,residual,48,24,6,0.0,0.0
baseline,residual,48,24,7,0.0,0.0
baseline,residual,48,24,8,0.0,0.0
baseline,residual,48,24,9,0.0,0.0
baseline,residual,48,24,10,0.0,0.0
baseline,residual,48,24,11,0.0,0.0
baseline,residual,48,25,0,0.0,0.0
baseline,residual,48,25,1,0.0,0.0
baseline,residual,48,25,2,0.0,0.0
baseline,residual,48,25,3,0.0,0.0
baseline,residual,48,25,4,0.0,0.0
baseline,residual,48,25,5,0.0,0.0
baseline,residual,48,25,6,0.0,0.0
baseline,residual,48,25,7,0.0,0.0
baseline,residual,48,25,8,0.0,0.0
baseline,residual,48,25,9,0.0,0.0
baseline,residual,48,25,10,0.0,0.0
baseline,residual,48,25,11,0.0,0.0
baseline,residual,48,26,0,0.0,0.0
baseline,residual,48,26,1,0.0,0.0
baseline,residual,48,26,2,0.0,0.0
baseline,residual,48,26,3,0.0,0.0
baseline,residual,48,26,4,0.0,0.0
baseline,residual,48,26,5,0.0,0.0
baseline,residual,48,26,6,0.0,0.0
baseline,residual,48,26,7,0.0,0.0
baseline,residual,48,26,8,0.0,0.0
baseline,residual,48,26,9,0.0,0.0
baseline,residual,48,26,10,0.0,0.0
baseline,residual,48,26,11,0.0,0.0
baseline,residual,48,27,0,0.0,0.0
baseline,residual,48,27,1,0.0,0.0
baseline,residual,48,27,2,0.0,0.0
baseline,residual,48,27,3,0.0,0.0
baseline,residual,48,27,4,0.0,0.0
baseline,residual,48,27,5,0.0,0.0
baseline,residual,48,27,6,0.0,0.0
baseline,residual,48,27,7,0.0,0.0
baseline,residual,48,27,8,0.0,0.0
baseline,residual,48,27,9,0.0,0.0
baseline,residual,48,27,10,0.0,0.0
baseline,residual,48,27,11,0.0,0.0
baseline,residual,48,28,0,0.0,0.0
baseline,residual,48,28,1,0.0,0.0
baseline,residual,48,28,2,0.0,0.0
baseline,residual,48,28,3,0.0,0.0
baseline,residual,48,28,4,0.0,0.0
baseline,residual,48,28,5,0.0,0.0
baseline,residual,48,28,6,0.0,0.0
baseline,residual,48,28,7,0.0,0.0
baseline,residual,48,28,8,0.0,0.0
baseline,residual,48,28,9,0.0,0.0
baseline,residual,48,28,10,0.0,0.0
baseline,residual,48,28,11,0.0,0.0
baseline,residual,48,29,0,0.0,0.0
baseline,residual,48,29,1,0.0,0.0
baseline,residual,48,29,2,0.0,0.0
baseline,residual,48,29,3,0.0,0.0
baseline,residual,48,29,4,0.0,0.0
baseline,residual,48,29,5,0.0,0.0
baseline,residual,48,29,6,0.0,0.0
baseline,residual,48,29,7,0.0,0.0
baseline,residual,48,29,8,0.0,0.0
baseline,residual,48,29,9,0.0,0.0
baseline,residual,48,29,10,0.0,0.0
baseline,residual,48,29,11,0.0,0.0
baseline,residual,48,30,0,0.0,0.0
baseline,residual,48,30,1,0.0,0.0
baseline,residual,48,30,2,0.0,0.0
baseline,residual,48,30,3,0.0,0.0
