source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteResidual-v0,48,16,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,17,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,18,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,19,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,20,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,21,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,22,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,23,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,23,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,23,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,23,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,23,4,5.840081353044848,0.0
