row,col
221,482
222,36
222,169
222,204
222,344
222,486
223,20
223,179
223,208
223,357
223,487
224,25
224,171
224,216
224,358
224,483
225,26
225,175
225,210
225,348
225,493
226,22
226,161
226,209
226,350
226,481
227,29
227,176
227,206
227,354
227,494
228,37
228,173
228,200
228,359
228,496
229,33
229,166
229,205
229,347
229,484
230,28
230,163
230,215
230,353
230,485
231,32
231,172
231,214
231,346
231,490
232,38
232,164
232,201
232,355
232,488
233,24
233,168
233,207
233,341
233,492
234,27
234,177
234,202
234,352
234,499
235,39
235,174
235,212
235,356
235,489
236,21
236,170
236,217
236,351
236,497
237,31
237,160
237,213
237,343
237,480
238,23
238,178
238,211
238,342
238,491
239,35
239,167
239,203
239,349
239,495
240,40
240,184
240,237
240,372
240,406
241,50
241,188
241,224
241,374
241,405
242,52
242,197
242,231
242,367
242,404
243,58
243,194
243,232
243,373
243,407
244,46
244,198
244,233
244,369
244,402
245,54
245,192
245,236
245,370
245,400
246,47
246,183
246,220
246,379
246,411
247,44
247,195
247,221
247,378
247,418
248,57
248,186
248,222
248,376
248,415
249,42
249,189
249,223
249,364
249,413
250,56
250,193
250,229
250,368
250,412
251,53
251,182
251,230
251,360
251,403
252,41
252,191
252,235
252,363
252,409
253,55
253,190
253,227
253,361
253,410
254,45
254,196
254,238
254,375
254,417
255,48
255,180
255,234
255,371
255,416
256,49
256,199
256,226
256,365
256,419
257,51
257,185
257,239
257,377
257,408
258,59
258,187
258,228
258,362
258,414
259,43
259,181
259,225
259,366
259,401
260,78
260,102
260,252
260,390
260,438
261,79
261,118
261,244
261,383
261,427
262,62
262,106
262,249
262,391
262,437
263,66
263,105
263,254
263,394
263,429
264,75
264,115
264,246
264,386
264,423
265,73
265,109
265,251
265,381
265,436
266,72
266,110
266,240
266,384
266,420
267,74
267,107
267,256
267,398
267,428
268,60
268,103
268,250
268,385
268,433
269,71
269,108
269,242
269,399
269,434
270,70
270,113
270,255
270,395
270,421
271,76
271,117
271,243
271,393
271,422
272,67
272,111
272,258
272,392
272,431
273,63
273,119
273,241
273,382
273,424
274,77
274,100
274,248
274,389
274,432
275,61
275,114
275,253
275,388
275,439
276,69
276,104
276,259
276,397
276,425
277,64
277,112
277,247
277,380
277,435
278,68
278,101
278,245
278,396
278,426
279,65
279,116
279,257
279,387
279,430
280,83
280,125
280,264
280,315
280,443
281,91
281,138
281,261
281,312
281,453
282,99
282,126
282,271
282,310
282,456
283,93
283,129
283,273
283,314
283,445
284,80
284,134
284,266
284,309
284,444
285,97
285,124
285,276
285,308
285,458
286,84
286,131
286,272
286,306
286,450
287,87
287,123
287,263
287,313
287,449
288,88
288,139
288,265
288,316
288,457
289,94
289,121
289,269
289,302
289,446
290,81
290,132
290,262
290,300
290,455
291,90
291,136
291,278
291,307
291,441
292,82
292,128
292,260
292,317
292,459
293,86
293,130
293,279
293,318
293,454
294,85
294,137
294,270
294,301
294,451
295,89
295,122
295,275
295,305
295,452
296,95
296,127
296,277
296,319
296,442
297,92
297,120
297,274
297,303
297,447
298,96
298,135
298,267
298,304
298,440
299,98
299,133
299,268
299,311
299,448
