source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,layered,24,7,4,0.0,0.0
baseline,layered,24,7,5,0.0,0.0
baseline,layered,24,7,6,0.0,0.0
baseline,layered,24,7,7,4.144268395993943,0.0
baseline,layered,24,7,8,5.2809971617544935,0.0
baseline,layered,24,7,9,4.747910323911438,0.0
baseline,layered,24,7,10,4.432956359640149,0.0
baseline,layered,24,7,11,4.391765823034438,0.0
baseline,layered,24,7,12,5.195143103920704,0.0
baseline,layered,24,7,13,5.747506973412645,0.0
baseline,layered,24,7,14,5.23704952153753,0.0
baseline,layered,24,7,15,5.4100879666559765,0.0
baseline,layered,24,7,16,4.337367404442795,0.0
baseline,layered,24,7,17,5.512092644668852,0.0
baseline,layered,24,7,18,3.8438057405965758,0.0
baseline,layered,24,7,19,6.048170256893621,0.0
baseline,layered,24,7,20,5.682811077897046,0.0
baseline,layered,24,7,21,8.295391488466219,0.0
baseline,layered,24,7,22,5.986041034392833,0.0
baseline,layered,24,7,23,4.597689936596569,0.0
baseline,layered,24,8,0,0.0,0.0
baseline,layered,24,8,1,0.0,0.0
baseline,layered,24,8,2,0.0,0.0
baseline,layered,24,8,3,0.0,0.0
baseline,layered,24,8,4,0.0,0.0
baseline,layered,24,8,5,0.0,0.0
baseline,layered,24,8,6,0.0,0.0
baseline,layered,24,8,7,0.0,0.0
baseline,layered,24,8,8,5.2809971617544935,0.0
baseline,layered,24,8,9,4.747910323911438,0.0
baseline,layered,24,8,10,4.432956359640149,0.0
baseline,layered,24,8,11,4.391765823034438,0.0
baseline,layered,24,8,12,5.195143103920704,0.0
baseline,layered,24,8,13,5.747506973412645,0.0
baseline,layered,24,8,14,5.23704952153753,0.0
baseline,layered,24,8,15,5.4100879666559765,0.0
baseline,layered,24,8,16,4.337367404442795,0.0
baseline,layered,24,8,17,5.512092644668852,0.0
baseline,layered,24,8,18,3.8438057405965758,0.0
baseline,layered,24,8,19,6.048170256893621,0.0
baseline,layered,24,8,20,5.682811077897046,0.0
baseline,layered,24,8,21,8.295391488466219,0.0
baseline,layered,24,8,22,5.986041034392833,0.0
baseline,layered,24,8,23,4.597689936596569,0.0
baseline,layered,24,9,0,0.0,0.0
baseline,layered,24,9,1,0.0,0.0
baseline,layered,24,9,2,0.0,0.0
baseline,layered,24,9,3,0.0,0.0
baseline,layered,24,9,4,0.0,0.0
baseline,layered,24,9,5,0.0,0.0
baseline,layered,24,9,6,0.0,0.0
baseline,layered,24,9,7,0.0,0.0
baseline,layered,24,9,8,0.0,0.0
baseline,layered,24,9,9,4.747910323911438,0.0
baseline,layered,24,9,10,4.432956359640149,0.0
baseline,layered,24,9,11,4.391765823034438,0.0
baseline,layered,24,9,12,5.195143103920704,0.0
baseline,layered,24,9,13,5.747506973412645,0.0
baseline,layered,24,9,14,5.23704952153753,0.0
baseline,layered,24,9,15,5.4100879666559765,0.0
baseline,layered,24,9,16,4.337367404442795,0.0
baseline,layered,24,9,17,5.512092644668852,0.0
baseline,layered,24,9,18,3.8438057405965758,0.0
baseline,layered,24,9,19,6.048170256893621,0.0
baseline,layered,24,9,20,5.682811077897046,0.0
baseline,layered,24,9,21,8.295391488466219,0.0
baseline,layered,24,9,22,5.986041034392833,0.0
baseline,layered,24,9,23,4.597689936596569,0.0
baseline,layered,24,10,0,0.0,0.0
baseline,layered,24,10,1,0.0,0.0
baseline,layered,24,10,2,0.0,0.0
baseline,layered,24,10,3,0.0,0.0
baseline,layered,24,10,4,0.0,0.0
baseline,layered,24,10,5,0.0,0.0
baseline,layered,24,10,6,0.0,0.0
baseline,layered,24,10,7,0.0,0.0
baseline,layered,24,10,8,0.0,0.0
baseline,layered,24,10,9,0.0,0.0
baseline,layered,24,10,10,4.432956359640149,0.0
baseline,layered,24,10,11,4.391765823034438,0.0
baseline,layered,24,10,12,5.195143103920704,0.0
baseline,layered,24,10,13,5.747506973412645,0.0
baseline,layered,24,10,14,5.23704952153753,0.0
baseline,layered,24,10,15,5.4100879666559765,0.0
baseline,layered,24,10,16,4.337367404442795,0.0
baseline,layered,24,10,17,5.512092644668852,0.0
baseline,layered,24,10,18,3.8438057405965758,0.0
baseline,layered,24,10,19,6.048170256893621,0.0
baseline,layered,24,10,20,5.682811077897046,0.0
baseline,layered,24,10,21,8.295391488466219,0.0
baseline,layered,24,10,22,5.986041034392833,0.0
baseline,layered,24,10,23,4.597689936596569,0.0
baseline,layered,24,11,0,0.0,0.0
baseline,layered,24,11,1,0.0,0.0
baseline,layered,24,11,2,0.0,0.0
baseline,layered,24,11,3,0.0,0.0
baseline,layered,24,11,4,0.0,0.0
baseline,layered,24,11,5,0.0,0.0
baseline,layered,24,11,6,0.0,0.0
baseline,layered,24,11,7,0.0,0.0
baseline,layered,24,11,8,0.0,0.0
baseline,layered,24,11,9,0.0,0.0
baseline,layered,24,11,10,0.0,0.0
baseline,layered,24,11,11,4.391765823034438,0.0
baseline,layered,24,11,12,5.195143103920704,0.0
baseline,layered,24,11,13,5.747506973412645,0.0
baseline,layered,24,11,14,5.23704952153753,0.0
baseline,layered,24,11,15,5.4100879666559765,0.0
baseline,layered,24,11,16,4.337367404442795,0.0
baseline,layered,24,11,17,5.512092644668852,0.0
baseline,layered,24,11,18,3.8438057405965758,0.0
baseline,layered,24,11,19,6.048170256893621,0.0
baseline,layered,24,11,20,5.682811077897046,0.0
baseline,layered,24,11,21,8.295391488466219,0.0
