source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,48,8,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,9,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,10,10,4.122532849190943,0.0
